pclass	survived	name	age	embarked	home.dest	room	ticket	boat	sex	
1st	1	Flegenheim, Mrs Alfred (Antoinette)	NA	Cherbourg	New York, NY	NA	NA	7	female	
1st	1	Flynn, Mr John Irving	NA	Southampton	Brooklyn, NY	NA	NA	5/7	male	
1st	0	Foreman, Mr Benjamin Laventall	30.0000	Cherbourg	New York, NY	NA	NA	NA	male	
1st	1	Fortune, Miss Alice Elizabeth	24.0000	Southampton	Winnipeg, MB	NA	NA	10	female	
1st	0	Fortune, Mr Charles Alexander	19.0000	Southampton	Winnipeg, MB	NA	NA	NA	male	
1st	1	Fortune, Miss Ethel Flora	28.0000	Southampton	Winnipeg, MB	NA	NA	10	female	
1st	1	Fortune, Miss Mabel	23.0000	Southampton	Winnipeg, MB	NA	NA	10	female	
1st	0	Fortune, Mr Mark	64.0000	Southampton	Winnipeg, MB	NA	NA	NA	male	
1st	1	Fortune, Mrs Mark (Mary McDougald)	60.0000	Southampton	Winnipeg, MB	NA	NA	10	female	
1st	0	Franklin, Mr Thomas Parham	NA	Southampton	Westcliff-on-Sea, Essex	NA	NA	NA	male	
1st	1	Frauenthal, Dr Henry William	49.0000	Cherbourg	New York, NY	NA	NA	5	male	
1st	1	Frauenthal, Mrs Henry William (Clara Heinsheimer)	NA	Cherbourg	New York, NY	NA	NA	5	female	
1st	1	Frauenthal, Mr Isaac Gerald	44.0000	Southampton	New York, NY	NA	NA	5	male	
1st	1	Frolicher, Miss Marguerite	22.0000	Cherbourg	Zurich, Switzerland	NA	NA	5	female	
1st	1	Frolicher-Stehli, Mr Maxmillian	60.0000	Cherbourg	Zurich, Switzerland	NA	NA	5	male	
1st	1	Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia Stehli)	48.0000	Cherbourg	Zurich, Switzerland	NA	NA	5	female	
1st	0	Futrelle, Mr Jacques	37.0000	Southampton	Scituate, MA	NA	NA	NA	male	
1st	1	Futrelle, Mrs Jacques (May Peel)	35.0000	Southampton	Scituate, MA	NA	NA	9	female	
1st	0	Gee, Mr Arthur H.	47.0000	Southampton	St Anne's-on-Sea, Lancashire	NA	NA	(275)	male	
1st	1	Gibson, Miss Dorothy	22.0000	Cherbourg	New York, NY	NA	NA	7	female	
1st	1	Gibson, Mrs Leonard (Pauline C. Boeson)	45.0000	Cherbourg	New York, NY	NA	NA	7	female	
1st	1	Goldenberg, Mr Samuel L.	49.0000	Cherbourg	Paris, France / New York, NY	NA	NA	5	male	
1st	1	Goldenberg, Mrs Samuel L. (Edwiga Grabowsko)	NA	Cherbourg	Paris, France / New York, NY	NA	NA	5	female	
1st	0	Goldschmidt, Mr George B.	71.0000	Cherbourg	New York, NY	NA	NA	NA	male	
1st	1	Gracie, Colonel Archibald IV	54.0000	Southampton	Washington, DC	C-51	113780 L28 10s	B	male	
1st	0	Graham, Mr George Edward	38.0000	Southampton	Winnipeg, MB	NA	NA	(147)	male	
1st	1	Graham, Miss Margaret Edith	19.0000	Southampton	Greenwich, CT	C-125	17582 L153 9s 3d	3	female	
1st	1	Graham, Mrs William Thompson (Edith Junkins)	58.0000	Southampton	Greenwich, CT	C-91	17582 L153 9s 3d	3	female	
1st	1	Greenfield, Mrs Leo David (Blanche Strouse)	45.0000	Cherbourg	New York, NY	NA	NA	7	female	
1st	1	Greenfield, Mr William Bertram	23.0000	Cherbourg	New York, NY	NA	NA	7	male	
1st	0	Guggenheim, Mr Benjamin	46.0000	Cherbourg	New York, NY	B-82/4	17593 L56 18s 7d	NA	male	
1st	1	Harder, Mr George Achilles	25.0000	Cherbourg	Brooklyn, NY	NA	NA	5	male	
1st	1	Harder, Mrs George Achilles (Dorothy Annan)	21.0000	Cherbourg	Brooklyn, NY	NA	NA	5	female	
1st	1	Harper, Mr Henry Sleeper	48.0000	Cherbourg	New York, NY	NA	NA	3	male	
1st	1	Harper, Mrs Henry Sleeper (Myna Haxtun)	49.0000	Cherbourg	New York, NY	NA	NA	3	female	
1st	0	Harris, Mr Henry Birkhardt	45.0000	Southampton	New York, NY	C-83	36973 L83 9s 6d	NA	male	
1st	1	Harris, Mrs Henry Birkhardt (Irene Wallach)	36.0000	Southampton	New York, NY	C-83	36973 L83 9s 6d	D	female	
1st	1	Hawksford, Mr Walter James	NA	Southampton	Kingston, Surrey	NA	NA	3	male	
1st	0	Hays, Mr Charles Melville	55.0000	Southampton	Montreal, PQ	NA	NA	(307)	male	
1st	1	Hays, Mrs Charles Melville (Clara Jennings Gregg)	52.0000	Southampton	Montreal, PQ	NA	NA	3	female	
1st	1	Hays, Miss Margaret Bechstein	24.0000	Southampton	New York, NY	NA	NA	7	female	
1st	0	Head, Mr Christopher	NA	Southampton	London / Middlesex	NA	NA	NA	male	
1st	0	Hilliard, Mr Herbert Henry	NA	Southampton	Brighton, MA	NA	NA	NA	male	
1st	0	Hipkins, Mr William Edward	NA	Southampton	London / Birmingham	NA	NA	NA	male	
1st	1	Hippach, Miss Jean Gertrude	16.0000	Cherbourg	Chicago, IL	B-18	111361 L57 19s 7d	4	female	
1st	1	Hippach, Mrs Louis Albert (Ida Sophia Fischer)	44.0000	Cherbourg	Chicago, IL	B-18	111361 L57 19s 7d	4	female	
1st	1	Hogeboom, Mrs John C. (Anna Andrews)	51.0000	Southampton	Hudson, NY	D-?	13502 L77	10	female	
1st	0	Holverson, Mr Alexander Oskar	42.0000	Southampton	New York, NY	NA	NA	(38)	male	
1st	1	Holverson, Mrs Alexander Oskar (Mary Aline Towner)	35.0000	Southampton	New York, NY	NA	NA	NA	female	
1st	1	Homer, Mr Harry	35.0000	Cherbourg	Indianapolis, IN	NA	NA	15	male	
1st	1	Hoyt, Mr Frederick Maxfield	38.0000	Southampton	New York, NY /  Stamford CT	C-93	NA	D	male	
1st	1	Hoyt, Mrs Frederick Maxfield (Jane Anne Forby)	35.0000	Southampton	New York, NY /  Stamford CT	C-93	NA	D	female	
1st	0	Hoyt, Mr William F.	NA	Cherbourg	New York, NY	NA	NA	14	male	
1st	0	Isham, Miss Anne Elizabeth	50.0000	Cherbourg	Paris, France New York, NY	C-49	NA	NA	female	
1st	1	Ismay, Mr Joseph Bruce	49.0000	Southampton	Liverpool	B-52/4/6	112058 Complimentary	C	male	
1st	0	Jones, Mr Charles Cresson	46.0000	Southampton	Bennington, VT	NA	NA	(80)	male	
1st	0	Julian, Mr Henry Forbes	NA	Southampton	London	NA	NA	NA	male	
1st	0	Kent, Mr Edward Austin	58.0000	Cherbourg	Buffalo, NY	NA	NA	(258)	male	
1st	0	Kenyon, Mr Frederick R.	41.0000	Southampton	Southington / Noank, CT	NA	NA	NA	male	
1st	1	Kenyon, Mrs Frederick R. (Marion)	NA	Southampton	Southington / Noank, CT	NA	NA	8	female	
1st	1	Kimball, Mr Edwin Nelson Jr.	42.0000	Southampton	Boston, MA	NA	NA	5	male	
1st	1	Kimball, Mrs Edwin Nelson Jr. (Gertrude Parsons)	40.0000	Southampton	Boston, MA	NA	NA	5	female	
1st	0	Klaber, Mr Herman	NA	Southampton	Portland, OR	NA	NA	NA	male	
1st	1	Leader, Dr Alice Farnham	NA	Southampton	New York, NY	NA	NA	8	female	
1st	0	Lewy, Mr Ervin G.	NA	Cherbourg	Chicago, IL	NA	NA	NA	male	
1st	0	Lindeberg-Lind, Mr Erik Gustaf	42.0000	Southampton	Stockholm, Sweden	NA	NA	NA	male	
1st	1	Lindstrom, Mrs Carl Johan (Sigrid Posse)	55.0000	Cherbourg	Stockholm, Sweden	NA	NA	6	female	
1st	1	Lines, Mrs Ernest H. (Elizabeth Lindsey James)	50.0000	Cherbourg	Paris, France	NA	NA	9	female	
1st	1	Lines, Miss Mary Conover	16.0000	Cherbourg	Paris, France	NA	NA	9	female	
1st	0	Lingrey, Mr Edward	NA	NA	NA	NA	NA	NA	male	
1st	0	Long, Mr Milton Clyde	29.0000	Southampton	Springfield, MA	NA	NA	(126)	male	
1st	1	Longley, Miss Gretchen Fiske	21.0000	Southampton	Hudson, NY	D-?	13502 L77	10	female	
1st	0	Loring, Mr Joseph Holland	30.0000	Southampton	London / New York, NY	NA	NA	NA	male	
1st	1	Madill, Miss Georgette Alexandra	15.0000	Southampton	St Louis, MO	B-5	24160 L221	2	female	
1st	0	Maguire, Mr John Edward	30.0000	Southampton	Brockton, MA	NA	NA	NA	male	
1st	1	Marechal, Mr Pierre	NA	Cherbourg	Paris, France	NA	NA	7	male	
1st	0	Marvin, Mr Daniel Warner	NA	Southampton	New York, NY	NA	NA	NA	male	
1st	1	Marvin, Mrs Daniel Warner (Mary Graham Carmichael Farquarson)	NA	Southampton	New York, NY	NA	NA	NA	female	
1st	0	McCaffry, Mr Thomas Francis	46.0000	Cherbourg	Vancouver, BC	NA	NA	(292)	male	
1st	0	McCarthy, Mr Timothy J.	54.0000	Southampton	Dorchester, MA	NA	NA	(175)	male	
1st	1	McGough, Mr James R.	36.0000	Southampton	Philadelphia, PA	NA	NA	7	male	
1st	0	Meyer, Mr Edgar Joseph	28.0000	Cherbourg	New York, NY	NA	NA	NA	male	
1st	1	Meyer, Mrs Edgar Joseph (Leila Saks)	NA	Cherbourg	New York, NY	NA	NA	6	female	
1st	0	Millet, Mr Francis Davis	65.0000	Southampton	East Bridgewater, MA	NA	NA	(249)	male	
1st	1	Minahan, Miss Daisy E.	33.0000	Queenstown	Green Bay, WI	NA	NA	14	female	
1st	0	Minahan, Dr William Edward	44.0000	Queenstown	Fond du Lac, WI	NA	NA	(230)	male	
1st	1	Minahan, Mrs William Edward (Lillian E. Thorpe)	37.0000	Queenstown	Fond du Lac, WI	NA	NA	14	female	
1st	1	Mock, Mr Philip E.	NA	Cherbourg	New York, NY	NA	NA	11	male	
1st	0	Molson, Mr Harry Markland	55.0000	Southampton	Montreal, PQ	NA	NA	NA	male	
1st	0	Moore, Mr Clarence Bloomfield	47.0000	Southampton	Washington, DC	NA	NA	NA	male	
1st	0	Natsch, Mr Charles H.	36.0000	Cherbourg	Brooklyn, NY	NA	NA	NA	male	
1st	0	Newell, Mr Arthur Webster	58.0000	Cherbourg	Lexington, MA	NA	NA	(122)	male	
1st	1	Newell, Miss Madeleine	31.0000	Cherbourg	Lexington, MA	NA	NA	6	female	
1st	1	Newell, Miss Marjorie	23.0000	Cherbourg	Lexington, MA	NA	NA	6	female	
1st	1	Newsom, Miss Helen Monypeny	19.0000	Southampton	New York, NY	NA	NA	5	female	
1st	0	Nicholson, Mr Arthur Ernest	64.0000	Southampton	Isle of Wight, England	NA	NA	(263)	male	
1st	1	Omont, Mr A. Fernand	NA	Cherbourg	Paris, France	NA	NA	7	male	
1st	0	Ostby, Mr Engelhart Cornelius	64.0000	Cherbourg	Providence, RI	NA	NA	(234)	male	
1st	1	Ostby, Miss Helen Raghnild	22.0000	Cherbourg	Providence, RI	NA	NA	5	female	
1st	0	Ovies y Rodriguez, Mr Servando	28.0000	NA	?Havana, Cuba	NA	NA	(189)	male	
1st	0	Parr, Mr William Henry Marsh	NA	NA	Belfast	NA	NA	NA	male	
1st	0	Partner, Mr Austin	NA	Southampton	Surbiton Hill, Surrey	NA	NA	(166)	male	
1st	0	Payne, Mr Vivian Ponsonby	22.0000	Southampton	Montreal, PQ	NA	NA	NA	male	
1st	0	Pears, Mr Thomas	NA	Southampton	Isleworth, England	NA	NA	NA	male	
1st	1	Pears, Mrs Thomas (Edith)	NA	Southampton	Isleworth, England	NA	NA	8	female	
1st	0	Penasco, Mr Victor de Satode	18.0000	Cherbourg	Madrid, Spain	NA	NA	NA	male	
1st	1	Penasco, Mrs Victor de Satode (Josefa de Soto)	17.0000	Cherbourg	Madrid, Spain	NA	NA	8	female	
1st	1	Peuchen, Major Arthur Godfrey	52.0000	Southampton	Toronto, ON	C-104	NA	6	male	
1st	0	Porter, Mr Walter Chamberlain	46.0000	Southampton	Worcester, MA	NA	NA	(207)	male	
1st	1	Potter, Mrs Thomas, Jr. (Lily Alexenia Wilson)	56.0000	Cherbourg	Mt Airy, Philadelphia, PA	NA	NA	7	female	
1st	0	Reuchlin, Jonkheer John George	NA	Southampton	Rotterdam, Netherlands	NA	NA	NA	male	
1st	1	Rheims, Mr George Lucien	NA	Cherbourg	Paris /  New York, NY	NA	17604 L39 12s	A	male	
1st	1	Robert, Mrs Edward Scott (Elisabeth Walton McMillan)	43.0000	Southampton	St Louis, MO	B-3	24160 L221	2	female	
1st	0	Roebling, Mr Washington Augustus 2nd	31.0000	Southampton	Trenton, NJ	NA	NA	NA	male	
1st	1	Romaine, Mr Charles Hallace	NA	Southampton	New York, NY	NA	NA	15	male	
1st	0	Rood, Mr Hugh R.	NA	Southampton	Seattle, WA	NA	NA	NA	male	
1st	1	Rosenbaum (Russell), Miss Edith Louise	33.0000	Cherbourg	Paris, France	A-11	17613 L27 14s 5d	11	female	
1st	0	Ross, Mr John Hugo	NA	Cherbourg	Winnipeg, MB	NA	NA	NA	male	
1st	1	Rothes, the Countess of (Noel Lucy Martha Dyer-Edwardes)	27.0000	Southampton	London  Vancouver, BC	NA	NA	8	female	
1st	0	Rothschild, Mr Martin	55.0000	Cherbourg	New York, NY	NA	NA	NA	male	
1st	1	Rothschild, Mrs Martin (Elizabeth L. Barrett)	54.0000	Cherbourg	New York, NY	NA	NA	6	female	
1st	0	Rowe, Mr Alfred G.	NA	Southampton	London	NA	NA	(109)	male	
1st	0	Ryerson, Mr Arthur Larned	61.0000	Cherbourg	Haverford, PA / Cooperstown, NY	NA	17608 L262 7s 6d	NA	male	
1st	1	Ryerson, Mrs Arthur Larned (Emily Maria Borie)	48.0000	Cherbourg	Haverford, PA / Cooperstown, NY	NA	17608 L262 7s 6d	4	female	
1st	1	Ryerson, Miss Emily Borie	18.0000	Cherbourg	Haverford, PA / Cooperstown, NY	NA	17608 L262 7s 6d	4	female	
1st	1	Ryerson, Master John Borie	13.0000	Cherbourg	Haverford, PA / Cooperstown, NY	NA	17608 L262 7s 6d	4	male	
1st	1	Ryerson, Miss Susan (Suzette) Parker	21.0000	Cherbourg	Haverford, PA / Cooperstown, NY	NA	17608 L262 7s 6d	4	female	
1st	1	Saalfeld, Mr Adolphe	NA	Southampton	Manchester, England	NA	NA	3	male	
1st	1	Salomon, Mr Abraham L.	NA	Southampton	New York, NY	NA	NA	1	male	
1st	1	Schabert, Mrs Paul (Emma Mock)	NA	Cherbourg	New York, NY	NA	NA	11	female	
1st	1	Seward, Mr Frederic Kimber	34.0000	Southampton	New York, NY	NA	NA	7	male	
1st	1	Shutes, Miss Elizabeth W.	40.0000	Southampton	New York, NY / Greenwich CT	C-125	17582 L153 9s 3d	3	female	
1st	1	Silverthorne, Mr Spencer Victor	36.0000	Southampton	St Louis, MO	NA	NA	5	male	
1st	0	Silvey, Mr William Baird	50.0000	NA	Duluth, MN	NA	NA	NA	male	
1st	1	Silvey, Mrs William Baird (Alice Munger)	39.0000	NA	Duluth, MN	NA	NA	NA	female	
1st	1	Simonius-Blumer, Col Alfons	56.0000	NA	Basel, Switzerland	NA	NA	3	male	
1st	1	Sloper, Mr William Thompson	28.0000	Southampton	New Britain, CT	NA	NA	7	male	
1st	0	Smart, Mr John Montgomery	56.0000	Southampton	New York, NY	NA	NA	NA	male	
1st	0	Smith, Mr James Clinch	56.0000	Cherbourg	St James, Long Island, NY	NA	NA	NA	male	
1st	0	Smith, Mr Lucien Philip	24.0000	Southampton	Huntington, WV	NA	NA	NA	male	
1st	1	Smith, Mrs Lucien Philip (Mary Eloise Hughes	18.0000	Southampton	Huntington, WV	NA	NA	6	female	
1st	0	Smith, Mr Richard William	NA	Southampton	Streatham, Surrey	NA	NA	NA	male	
1st	1	Snyder, Mr John Pillsbury	24.0000	Southampton	Minneapolis, MN	NA	NA	7	male	
1st	1	Snyder, Mrs John Pillsbury (Nelle Stevenson)	23.0000	Southampton	Minneapolis, MN	NA	NA	7	female	
1st	1	Spedden, Mr Frederick Oakley	45.0000	Cherbourg	Tuxedo Park, NY	NA	NA	3	male	
1st	1	Spedden, Mrs Frederick Oakley (Margaretta Corning Stone)	40.0000	Cherbourg	Tuxedo Park, NY	NA	NA	3	female	
1st	1	Spedden, Master Robert Douglas	 6.0000	Cherbourg	Tuxedo Park, NY	NA	NA	3	male	
1st	0	Spencer, Mr William Augustus	57.0000	Cherbourg	Paris, France	NA	NA	NA	male	
1st	1	Spencer, Mrs William Augustus (Marie Eugenie)	NA	Cherbourg	Paris, France	NA	NA	6	female	
1st	1	Staehlin, Dr Max	32.0000	Cherbourg	Basel, Switzerland	NA	NA	3	male	
1st	0	Stead, Mr William Thomas	62.0000	Southampton	Wimbledon Park, London / Hayling Island, Hants	C-89	NA	NA	male	
1st	1	Stengel, Mr Charles Emil Henry	54.0000	Cherbourg	Newark, NJ	NA	NA	1	male	
